股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,發行量加權股價指數開盤指數,發行量加權股價指數最高指數,發行量加權股價指數最低指數,發行量加權股價指數收盤指數
104/08/21,"2,998,837","30,297,149",10.05,10.25,10.00,10.15, 0.00,937,"7,941.95","7,941.95","7,786.92","7,786.92"
104/08/24,"4,910,968","45,526,674",9.71,9.99,9.14,9.15,-1.00,"1,276","7,719.63","7,719.63","7,203.07","7,410.34"
104/08/25,"3,762,475","33,667,150",8.31,9.20,8.31,9.20,+0.05,990,"7,427.36","7,677.93","7,368.47","7,675.64"
104/08/26,"1,510,781","14,011,608",9.31,9.40,9.15,9.40,+0.20,564,"7,636.12","7,762.45","7,547.61","7,715.59"
104/08/27,"1,430,376","13,888,103",9.45,9.83,9.45,9.80,+0.40,618,"7,762.63","7,856.40","7,762.63","7,824.55"
104/08/28,"2,571,652","25,895,623",9.95,10.20,9.91,10.10,+0.30,859,"7,923.77","8,039.76","7,923.77","8,019.18"
104/08/31,"1,751,727","17,753,883",10.00,10.30,9.96,10.30,+0.20,757,"8,026.62","8,174.92","7,961.77","8,174.92"
104/09/01,"787,090","8,083,676",10.20,10.40,10.15,10.35,+0.05,271,"8,117.50","8,119.90","8,002.18","8,017.56"
104/09/02,"834,860","8,545,907",10.15,10.35,10.10,10.35, 0.00,318,"7,970.40","8,068.06","7,907.31","8,035.29"
104/09/03,"1,392,559","14,425,212",10.35,10.45,10.20,10.45,+0.10,434,"8,071.37","8,101.13","8,007.48","8,095.95"
104/09/04,"1,745,701","18,290,789",10.40,10.65,10.25,10.45, 0.00,547,"8,087.62","8,128.23","7,990.86","8,000.60"
104/09/07,"465,181","4,810,643",10.25,10.45,10.20,10.30,-0.15,196,"7,990.76","8,053.20","7,957.80","7,986.56"
104/09/08,"850,344","8,938,393",10.35,10.60,10.35,10.50,+0.20,365,"7,993.10","8,031.26","7,978.78","8,001.50"
104/09/09,"1,756,222","18,704,687",10.65,10.75,10.60,10.60,+0.10,556,"8,097.22","8,296.13","8,097.22","8,286.92"
104/09/10,"2,133,910","21,991,171",10.40,10.40,10.20,10.35,-0.25,641,"8,247.64","8,274.82","8,214.50","8,268.68"
104/09/11,"1,394,719","14,399,103",10.40,10.45,10.20,10.35, 0.00,574,"8,271.25","8,313.18","8,233.14","8,305.82"
104/09/14,"1,450,428","14,946,515",10.40,10.45,10.20,10.30,-0.05,458,"8,332.57","8,360.03","8,259.31","8,307.29"
104/09/15,"1,130,561","11,671,326",10.30,10.40,10.25,10.35,+0.05,307,"8,320.22","8,327.95","8,226.07","8,259.99"
104/09/16,"2,494,101","26,186,054",10.35,10.60,10.30,10.45,+0.10,566,"8,298.13","8,342.36","8,276.94","8,333.29"
104/09/17,"5,775,372","62,610,946",10.60,11.05,10.50,10.80,+0.35,"1,396","8,377.31","8,467.15","8,377.31","8,445.50"
104/09/18,"1,791,537","19,366,150",10.85,10.95,10.65,10.95,+0.15,667,"8,427.52","8,488.53","8,399.71","8,462.14"
104/09/21,"1,358,485","14,493,410",10.75,10.80,10.60,10.65,-0.30,532,"8,404.50","8,404.50","8,285.43","8,307.04"
104/09/22,"1,105,274","11,822,013",10.70,10.85,10.60,10.70,+0.05,475,"8,331.44","8,365.92","8,325.78","8,365.92"
104/09/23,"776,042","8,221,293",10.55,10.70,10.55,10.55,-0.15,392,"8,310.82","8,310.82","8,186.22","8,193.42"
104/09/24,"1,119,101","11,632,513",10.60,10.65,10.30,10.30,-0.25,401,"8,224.23","8,257.14","8,101.90","8,123.10"
104/09/25,"675,434","6,956,516",10.30,10.40,10.20,10.30, 0.00,323,"8,131.49","8,152.50","8,061.87","8,132.35"
104/09/30,"758,335","7,743,448",10.25,10.30,10.15,10.15,-0.15,272,"8,097.15","8,181.24","8,059.68","8,181.24"
104/10/01,"1,003,592","10,369,986",10.30,10.40,10.20,10.35,+0.20,341,"8,194.30","8,317.79","8,170.78","8,295.94"
104/10/02,"3,095,591","32,700,295",10.40,10.65,10.35,10.45,+0.10,759,"8,290.43","8,320.66","8,253.75","8,305.03"
104/10/05,"985,731","10,294,148",10.50,10.55,10.35,10.45, 0.00,363,"8,342.99","8,364.59","8,316.83","8,352.36"
104/10/06,"893,997","9,394,516",10.55,10.60,10.45,10.45, 0.00,351,"8,409.31","8,482.83","8,390.89","8,394.10"
104/10/07,"5,091,500","54,648,698",10.45,10.85,10.45,10.75,+0.30,"1,097","8,398.53","8,495.23","8,385.04","8,495.23"
104/10/08,"1,326,742","14,126,462",10.80,10.90,10.50,10.50,-0.25,534,"8,528.46","8,544.93","8,434.50","8,445.96"
104/10/12,"1,451,869","15,243,435",10.70,10.70,10.40,10.50, 0.00,429,"8,478.34","8,578.22","8,478.34","8,573.72"
104/10/13,"935,284","9,835,841",10.45,10.60,10.45,10.60,+0.10,319,"8,571.57","8,574.11","8,518.41","8,567.92"
104/10/14,"2,664,992","28,573,861",10.60,10.85,10.50,10.70,+0.10,780,"8,545.14","8,553.87","8,515.53","8,522.51"
104/10/15,"4,539,863","49,986,643",10.90,11.20,10.80,11.10,+0.40,"1,367","8,573.38","8,652.47","8,573.38","8,601.52"
104/10/16,"3,830,109","43,081,427",11.15,11.40,11.10,11.40,+0.30,"1,204","8,596.43","8,627.83","8,574.64","8,604.95"
104/10/19,"4,655,714","53,845,036",11.50,11.80,11.30,11.70,+0.30,"1,282","8,628.79","8,670.32","8,603.08","8,631.50"
104/10/20,"2,668,458","31,287,880",11.80,11.90,11.60,11.75,+0.05,905,"8,651.08","8,663.12","8,618.48","8,653.60"
