股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,發行量加權股價指數開盤指數,發行量加權股價指數最高指數,發行量加權股價指數最低指數,發行量加權股價指數收盤指數
107/03/08,"192,883,370","2,948,105,051",14.80,15.45,14.75,15.45,+1.40,"18,894","10,788.43","10,852.33","10,788.43","10,823.24"
107/03/09,"171,989,378","2,651,138,719",15.60,15.70,15.05,15.10,-0.35,"20,609","10,847.74","10,882.76","10,845.38","10,864.82"
107/03/12,"53,982,965","826,043,046",15.30,15.45,15.20,15.25,+0.15,"10,920","10,908.99","11,016.56","10,908.99","11,002.10"
107/03/13,"41,466,811","629,580,808",15.20,15.25,15.10,15.25, 0.00,"7,045","11,022.15","11,095.63","11,014.87","11,095.63"
107/03/14,"30,406,280","460,144,610",15.20,15.25,15.05,15.10,-0.15,"5,619","11,063.73","11,070.29","11,015.47","11,038.80"
107/03/15,"26,807,907","405,133,241",15.05,15.20,15.05,15.10, 0.00,"7,758","11,039.60","11,052.11","11,008.18","11,018.45"
107/03/16,"40,546,513","613,904,393",15.05,15.20,15.00,15.20,+0.10,"5,363","11,010.24","11,054.86","10,933.46","11,027.70"
107/03/19,"26,548,555","404,857,694",15.15,15.35,15.10,15.25,+0.05,"4,993","11,004.81","11,066.00","10,983.25","11,046.90"
107/03/20,"22,326,811","338,759,709",15.20,15.20,15.10,15.20,-0.05,"5,835","11,016.85","11,020.78","10,981.04","11,010.84"
107/03/21,"30,837,425","468,596,201",15.20,15.25,15.10,15.20, 0.00,"4,274","11,037.35","11,072.31","11,011.07","11,011.07"
107/03/22,"30,331,924","461,964,811",15.30,15.35,15.15,15.25,+0.05,"4,275","11,045.90","11,120.20","10,975.33","11,005.84"
107/03/23,"50,157,951","757,192,664",15.05,15.20,15.00,15.20,-0.05,"7,025","10,863.67","10,863.67","10,758.06","10,823.33"
107/03/26,"34,810,888","526,422,218",15.05,15.20,15.05,15.15,-0.05,"4,648","10,783.57","10,840.05","10,781.43","10,840.05"
107/03/27,"60,879,240","940,335,624",15.20,15.65,15.15,15.55,+0.40,"10,388","10,901.69","10,986.79","10,901.69","10,986.79"
107/03/28,"19,099,923","294,215,584",15.35,15.50,15.30,15.40,-0.15,"4,548","10,939.97","10,939.97","10,853.48","10,865.66"
107/03/29,"37,000,161","566,069,488",15.35,15.45,15.20,15.30,-0.10,"5,574","10,855.66","10,889.60","10,815.46","10,845.92"
107/03/30,"29,931,778","460,214,894",15.30,15.45,15.20,15.40,+0.10,"4,609","10,905.30","10,969.22","10,905.30","10,906.22"
107/03/31,"17,906,313","277,995,667",15.50,15.65,15.40,15.50,+0.10,"3,838","10,925.71","10,947.16","10,905.69","10,919.49"
107/04/02,"28,643,495","446,366,436",15.50,15.75,15.40,15.45,-0.05,"4,569","10,936.26","10,969.88","10,882.05","10,888.27"
107/04/03,"27,692,884","425,826,641",15.35,15.45,15.30,15.40,-0.05,"4,535","10,837.54","10,837.54","10,775.45","10,821.53"
107/04/09,"44,828,988","686,496,403",15.30,15.40,15.20,15.25,-0.15,"4,241","10,880.14","10,904.75","10,829.02","10,893.53"
107/04/10,"43,687,362","669,458,488",15.30,15.40,15.20,15.30,+0.05,"7,244","10,885.64","10,975.67","10,874.83","10,927.18"
107/04/11,"29,420,087","454,410,141",15.35,15.60,15.30,15.40,+0.10,"4,363","10,961.70","11,016.35","10,953.31","10,974.02"
107/04/12,"24,395,100","376,316,353",15.40,15.50,15.35,15.45,+0.05,"4,183","10,984.12","11,008.20","10,920.62","10,955.29"
107/04/13,"19,916,291","307,512,517",15.40,15.50,15.40,15.40,-0.05,"3,414","10,975.58","10,988.23","10,938.37","10,965.39"
107/04/16,"16,106,002","247,930,975",15.40,15.45,15.35,15.35,-0.05,"2,164","10,962.36","10,974.94","10,921.17","10,954.55"
107/04/17,"33,941,740","522,111,910",15.35,15.50,15.30,15.35, 0.00,"3,464","10,953.51","10,965.20","10,799.07","10,810.45"
107/04/18,"43,266,308","672,203,526",15.45,15.60,15.35,15.60,+0.25,"5,916","10,842.88","10,917.60","10,809.89","10,847.89"
107/04/19,"57,239,731","907,902,122",15.65,16.00,15.60,15.85,+0.25,"11,826","10,891.66","10,983.96","10,889.71","10,971.22"
107/04/20,"34,122,407","532,588,978",15.75,15.80,15.50,15.60,-0.25,"4,187","10,802.42","10,831.56","10,770.05","10,779.38"
107/04/23,"20,121,592","314,191,251",15.55,15.80,15.50,15.55,-0.05,"2,752","10,756.89","10,774.73","10,687.25","10,697.13"
107/04/24,"57,837,166","892,911,299",15.55,15.65,15.20,15.35,-0.20,"6,470","10,680.38","10,692.19","10,540.15","10,579.50"
107/04/25,"50,347,727","781,004,029",15.30,15.60,15.30,15.50,+0.15,"5,911","10,541.83","10,573.73","10,489.20","10,559.97"
107/04/26,"79,246,861","1,237,355,220",15.50,15.85,15.40,15.70,+0.20,"8,185","10,583.08","10,618.68","10,478.98","10,488.58"
107/04/27,"70,981,790","1,121,770,236",15.70,15.95,15.60,15.70, 0.00,"8,200","10,546.29","10,573.61","10,495.67","10,553.43"
107/04/30,"60,872,336","973,299,622",15.70,16.10,15.70,16.00,+0.30,"7,885","10,553.41","10,660.61","10,539.63","10,657.88"
107/05/02,"105,765,858","1,742,794,750",16.00,16.85,16.00,16.25,+0.25,"14,665","10,665.52","10,683.90","10,601.10","10,618.81"
107/05/03,"53,928,795","868,634,820",16.25,16.25,15.95,16.05,-0.20,"9,221","10,578.98","10,578.98","10,509.03","10,514.18"
107/05/04,"49,075,125","792,732,391",16.00,16.40,15.95,16.00,-0.05,"7,267","10,516.45","10,566.37","10,500.97","10,529.37"
107/05/07,"41,618,961","656,439,323",16.10,16.15,15.65,15.65,-0.35,"7,039","10,581.78","10,632.62","10,555.56","10,604.91"
