日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/09/15,"26,565,622","304,909,415",11.50,11.55,11.40,11.45,-0.05,"4,678"
104/09/16,"29,432,185","336,646,636",11.55,11.60,11.35,11.40,-0.05,"5,687"
104/09/17,"41,811,827","481,459,191",11.55,11.60,11.45,11.55,+0.15,"8,351"
104/09/18,"30,325,642","350,223,664",11.55,11.60,11.45,11.60,+0.05,"4,912"
104/09/21,"33,232,694","375,067,597",11.45,11.50,11.20,11.20,-0.40,"6,304"
104/09/22,"33,478,136","376,128,449",11.35,11.35,11.15,11.30,+0.10,"5,791"
104/09/23,"44,213,847","486,760,286",11.10,11.20,10.90,10.95,-0.35,"8,527"
104/09/24,"37,776,682","411,499,472",11.00,11.05,10.80,10.80,-0.15,"6,900"
104/09/25,"31,428,323","341,436,647",10.85,10.95,10.75,10.95,+0.15,"5,133"
104/09/30,"63,361,226","683,869,016",10.70,10.90,10.70,10.80,-0.15,"7,558"
104/10/01,"37,873,804","413,690,484",10.85,11.05,10.80,10.90,+0.10,"5,672"
104/10/02,"22,565,098","247,056,079",10.95,11.00,10.85,10.95,+0.05,"4,687"
104/10/05,"28,750,881","319,151,236",11.00,11.20,10.95,11.15,+0.20,"6,574"
104/10/06,"26,158,089","294,625,414",11.30,11.35,11.15,11.25,+0.10,"5,689"
104/10/07,"30,544,495","343,579,278",11.25,11.30,11.10,11.30,+0.05,"5,767"
104/10/08,"20,222,904","228,207,993",11.40,11.40,11.20,11.25,-0.05,"5,073"
104/10/12,"47,287,752","535,359,395",11.25,11.40,11.20,11.40,+0.15,"8,369"
104/10/13,"24,773,290","282,534,776",11.40,11.45,11.30,11.45,+0.05,"4,577"
104/10/14,"123,898,063","1,465,465,796",11.45,12.00,11.45,11.90,+0.45,"17,469"
104/10/15,"107,628,961","1,313,361,956",12.05,12.30,12.05,12.30,+0.40,"18,760"
104/10/16,"65,908,973","799,914,477",12.30,12.30,12.05,12.15,-0.15,"9,802"
104/10/19,"40,911,980","502,237,611",12.15,12.40,12.15,12.35,+0.20,"7,185"
104/10/20,"35,820,507","440,980,075",12.45,12.45,12.25,12.25,-0.10,"6,011"
104/10/21,"29,263,879","354,586,698",12.30,12.30,12.00,12.05,-0.20,"6,422"
104/10/22,"20,155,166","244,445,181",12.05,12.20,12.05,12.15,+0.10,"3,606"
104/10/23,"48,582,536","600,607,739",12.40,12.45,12.30,12.35,+0.20,"7,707"
104/10/26,"29,510,394","366,603,290",12.45,12.50,12.35,12.45,+0.10,"5,894"
104/10/27,"20,301,494","252,061,870",12.45,12.50,12.30,12.50,+0.05,"3,718"
104/10/28,"34,470,405","420,294,785",12.40,12.40,12.05,12.10,-0.40,"6,690"
104/10/29,"53,952,155","642,367,162",12.05,12.10,11.80,11.90,-0.20,"9,382"
104/10/30,"23,307,806","278,236,910",11.90,12.00,11.85,11.90, 0.00,"4,849"
