股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,發行量加權股價指數開盤指數,發行量加權股價指數最高指數,發行量加權股價指數最低指數,發行量加權股價指數收盤指數
104/07/30,"83,112,767","934,601,297",11.10,11.40,11.10,11.35,+0.60,"11,965","8,567.23","8,697.18","8,567.23","8,651.49"
104/07/31,"55,173,165","618,736,487",11.40,11.45,11.10,11.25,-0.10,"8,961","8,670.92","8,676.29","8,591.37","8,665.34"
104/08/03,"58,428,098","653,278,181",11.35,11.40,11.10,11.20,-0.05,"6,732","8,636.53","8,636.53","8,482.92","8,524.41"
104/08/04,"55,688,939","619,463,232",11.20,11.25,11.00,11.15,-0.05,"7,596","8,538.44","8,590.30","8,433.92","8,510.86"
104/08/05,"39,007,623","434,267,655",11.00,11.25,11.00,11.25,+0.10,"8,426","8,504.94","8,563.01","8,486.27","8,542.27"
104/08/06,"40,342,903","451,750,737",11.25,11.30,11.10,11.25, 0.00,"5,431","8,564.55","8,586.24","8,404.67","8,449.56"
104/08/07,"37,234,091","416,126,096",11.20,11.25,11.10,11.20,-0.05,"4,700","8,409.01","8,458.04","8,368.40","8,442.29"
104/08/10,"35,431,075","395,063,868",11.10,11.20,11.10,11.20, 0.00,"5,479","8,410.63","8,484.18","8,374.08","8,466.84"
104/08/11,"41,626,419","469,189,475",11.30,11.35,11.20,11.20, 0.00,"8,052","8,542.13","8,586.22","8,393.08","8,394.14"
104/08/12,"39,506,315","442,408,458",11.20,11.30,11.10,11.25,+0.05,"5,649","8,365.15","8,376.59","8,235.95","8,283.38"
104/08/13,"37,414,549","420,562,111",11.30,11.30,11.20,11.20,-0.05,"7,719","8,284.96","8,348.39","8,271.69","8,311.74"
104/08/14,"26,082,048","292,558,358",11.25,11.25,11.20,11.20, 0.00,"5,940","8,315.14","8,343.98","8,283.35","8,305.64"
104/08/17,"19,377,891","216,255,994",11.25,11.25,11.10,11.10,-0.10,"3,735","8,307.90","8,308.54","8,213.42","8,213.42"
104/08/18,"25,374,752","282,282,764",11.10,11.20,11.10,11.15,+0.05,"4,681","8,237.08","8,277.22","8,166.77","8,177.22"
104/08/19,"71,130,117","773,169,081",11.10,11.10,10.70,10.90,-0.25,"11,723","8,182.81","8,182.81","7,987.57","8,021.84"
104/08/20,"32,063,617","348,518,758",10.80,11.00,10.75,10.85,-0.05,"6,385","8,008.68","8,063.80","7,951.72","8,029.81"
104/08/21,"71,699,352","758,312,191",10.70,10.75,10.40,10.40,-0.45,"11,153","7,941.95","7,941.95","7,786.92","7,786.92"
104/08/24,"86,095,945","869,002,067",10.20,10.30,9.92,10.05,-0.35,"12,687","7,719.63","7,719.63","7,203.07","7,410.34"
104/08/25,"58,326,694","607,360,946",10.10,10.60,10.10,10.45,+0.40,"9,030","7,427.36","7,677.93","7,368.47","7,675.64"
104/08/26,"45,277,814","470,006,939",10.35,10.50,10.20,10.40,-0.05,"6,033","7,636.12","7,762.45","7,547.61","7,715.59"
104/08/27,"37,225,102","393,896,096",10.55,10.65,10.50,10.55,+0.15,"6,578","7,762.63","7,856.40","7,762.63","7,824.55"
104/08/28,"40,703,075","439,088,028",10.70,10.85,10.60,10.80,+0.25,"6,415","7,923.77","8,039.76","7,923.77","8,019.18"
104/08/31,"50,032,913","536,562,188",10.85,10.85,10.60,10.75,-0.05,"5,323","8,026.62","8,174.92","7,961.77","8,174.92"
104/09/01,"36,579,305","390,798,805",10.60,10.80,10.55,10.75, 0.00,"7,616","8,117.50","8,119.90","8,002.18","8,017.56"
104/09/02,"27,751,321","297,358,242",10.65,10.85,10.60,10.80,+0.05,"5,425","7,970.40","8,068.06","7,907.31","8,035.29"
104/09/03,"66,696,266","743,082,377",10.90,11.35,10.80,11.35,+0.55,"11,055","8,071.37","8,101.13","8,007.48","8,095.95"
104/09/04,"36,470,801","406,813,719",11.30,11.35,11.00,11.05,-0.30,"8,191","8,087.62","8,128.23","7,990.86","8,000.60"
104/09/07,"28,819,107","316,250,077",10.95,11.15,10.85,11.00,-0.05,"5,034","7,990.76","8,053.20","7,957.80","7,986.56"
104/09/08,"20,028,294","220,917,466",11.00,11.10,10.90,11.10,+0.10,"4,339","7,993.10","8,031.26","7,978.78","8,001.50"
104/09/09,"72,389,679","825,159,350",11.35,11.55,11.25,11.40,+0.30,"13,235","8,097.22","8,296.13","8,097.22","8,286.92"
104/09/10,"45,010,182","510,761,007",11.30,11.50,11.15,11.50,+0.10,"13,143","8,247.64","8,274.82","8,214.50","8,268.68"
104/09/11,"24,281,366","278,496,839",11.40,11.55,11.35,11.50, 0.00,"5,105","8,271.25","8,313.18","8,233.14","8,305.82"
104/09/14,"26,126,127","299,640,181",11.50,11.60,11.40,11.50, 0.00,"5,075","8,332.57","8,360.03","8,259.31","8,307.29"
104/09/15,"26,565,622","304,909,415",11.50,11.55,11.40,11.45,-0.05,"4,678","8,320.22","8,327.95","8,226.07","8,259.99"
104/09/16,"29,432,185","336,646,636",11.55,11.60,11.35,11.40,-0.05,"5,687","8,298.13","8,342.36","8,276.94","8,333.29"
104/09/17,"41,811,827","481,459,191",11.55,11.60,11.45,11.55,+0.15,"8,351","8,377.31","8,467.15","8,377.31","8,445.50"
104/09/18,"30,325,642","350,223,664",11.55,11.60,11.45,11.60,+0.05,"4,912","8,427.52","8,488.53","8,399.71","8,462.14"
104/09/21,"33,232,694","375,067,597",11.45,11.50,11.20,11.20,-0.40,"6,304","8,404.50","8,404.50","8,285.43","8,307.04"
104/09/22,"33,478,136","376,128,449",11.35,11.35,11.15,11.30,+0.10,"5,791","8,331.44","8,365.92","8,325.78","8,365.92"
104/09/23,"44,213,847","486,760,286",11.10,11.20,10.90,10.95,-0.35,"8,527","8,310.82","8,310.82","8,186.22","8,193.42"
104/09/24,"37,776,682","411,499,472",11.00,11.05,10.80,10.80,-0.15,"6,900","8,224.23","8,257.14","8,101.90","8,123.10"
104/09/25,"31,428,323","341,436,647",10.85,10.95,10.75,10.95,+0.15,"5,133","8,131.49","8,152.50","8,061.87","8,132.35"
