日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/04/01,"22,798,711","265,345,955",11.70,11.75,11.55,11.55,-0.10,"4,956"
108/04/02,"23,155,479","269,054,648",11.65,11.70,11.55,11.60,+0.05,"4,970"
108/04/03,"21,951,315","254,348,844",11.60,11.65,11.55,11.55,-0.05,"4,427"
108/04/08,"105,510,930","1,255,732,839",11.60,12.15,11.60,11.90,+0.35,"13,284"
108/04/09,"86,939,518","1,057,589,370",12.00,12.30,11.95,12.30,+0.40,"15,105"
108/04/10,"48,397,306","591,630,854",12.30,12.35,12.10,12.25,-0.05,"10,933"
108/04/11,"89,309,795","1,098,308,100",12.35,12.45,12.10,12.10,-0.15,"15,083"
108/04/12,"17,252,844","209,882,850",12.25,12.25,12.10,12.20,+0.10,"4,203"
108/04/15,"34,868,344","421,774,481",12.25,12.30,12.05,12.05,-0.15,"4,420"
108/04/16,"35,946,007","434,911,590",12.10,12.25,12.00,12.10,+0.05,"4,894"
108/04/17,"60,477,263","739,110,482",12.15,12.40,12.10,12.20,+0.10,"8,595"
108/04/18,"48,686,881","586,580,393",12.25,12.30,11.90,12.00,-0.20,"7,577"
108/04/19,"24,015,462","289,118,358",12.05,12.10,12.00,12.10,+0.10,"4,054"
108/04/22,"28,202,641","338,234,859",12.15,12.15,11.90,11.90,-0.20,"7,040"
108/04/23,"27,169,104","324,369,990",11.90,12.00,11.90,11.95,+0.05,"5,836"
108/04/24,"39,688,992","474,918,703",12.05,12.10,11.85,11.95, 0.00,"7,097"
108/04/25,"185,934,503","2,406,707,761",12.60,13.10,12.60,13.10,+1.15,"20,956"
108/04/26,"225,982,817","2,990,156,968",13.10,13.45,12.95,13.45,+0.35,"30,963"
108/04/29,"71,900,498","958,997,010",13.45,13.50,13.25,13.35,-0.10,"10,781"
108/04/30,"63,857,184","856,685,681",13.35,13.50,13.30,13.45,+0.10,"8,483"
108/05/02,"37,508,456","505,781,464",13.35,13.60,13.35,13.55,+0.10,"6,574"
108/05/03,"87,607,849","1,206,484,737",13.55,13.90,13.55,13.85,+0.30,"9,930"
108/05/06,"94,350,184","1,262,239,900",13.50,13.70,13.15,13.20,-0.65,"14,520"
108/05/07,"53,939,136","728,668,127",13.35,13.65,13.25,13.60,+0.40,"8,323"
108/05/08,"53,979,097","723,968,755",13.35,13.55,13.30,13.45,-0.15,"9,154"
108/05/09,"61,722,274","814,775,211",13.40,13.45,13.00,13.15,-0.30,"9,243"
108/05/10,"34,772,896","459,972,550",13.30,13.40,13.05,13.20,+0.05,"8,481"
108/05/13,"34,652,746","451,343,549",13.10,13.20,12.95,12.95,-0.25,"8,185"
108/05/14,"68,436,279","881,531,327",12.80,13.10,12.60,13.00,+0.05,"12,817"
108/05/15,"54,345,421","707,375,859",12.95,13.15,12.90,12.90,-0.10,"9,320"
108/05/16,"32,193,147","416,306,876",12.90,13.00,12.80,12.95,+0.05,"8,430"
108/05/17,"52,327,936","683,870,930",13.10,13.25,12.95,13.00,+0.05,"11,131"
108/05/20,"36,419,272","468,417,888",13.05,13.10,12.75,12.75,-0.25,"8,666"
108/05/21,"39,455,900","509,552,507",12.70,13.05,12.65,12.95,+0.20,"7,665"
108/05/22,"25,560,881","331,251,553",12.95,13.05,12.85,13.00,+0.05,"6,002"
108/05/23,"47,580,279","612,301,932",12.85,13.00,12.75,12.85,-0.15,"8,324"
108/05/24,"27,753,770","360,807,119",12.95,13.10,12.90,12.95,+0.10,"6,123"
108/05/27,"25,262,205","325,339,789",13.00,13.05,12.80,12.80,-0.15,"4,736"
108/05/28,"86,813,566","1,084,248,912",12.80,12.80,12.40,12.45,-0.35,"9,487"
108/05/29,"32,266,476","399,794,888",12.30,12.60,12.15,12.60,+0.15,"6,547"
108/05/30,"43,693,334","555,134,171",12.70,12.80,12.55,12.75,+0.15,"7,849"
108/05/31,"31,740,913","408,651,351",12.65,12.95,12.65,12.90,+0.15,"5,641"
108/06/03,"41,302,659","541,192,217",12.80,13.25,12.70,13.20,+0.30,"6,911"
108/06/04,"41,757,982","547,304,774",13.15,13.30,12.90,13.00,-0.20,"8,563"
108/06/05,"27,276,407","355,122,110",13.15,13.20,12.90,12.90,-0.10,"4,473"
108/06/06,"32,018,239","416,978,609",12.90,13.10,12.85,13.05,+0.15,"5,756"
108/06/10,"28,170,170","372,734,948",13.20,13.30,13.05,13.30,+0.25,"4,557"
108/06/11,"32,581,260","436,354,435",13.35,13.45,13.25,13.40,+0.10,"5,838"
108/06/12,"30,229,283","407,344,230",13.45,13.55,13.35,13.55,+0.15,"5,747"
108/06/13,"70,097,271","961,593,543",13.50,13.95,13.40,13.75,+0.20,"9,493"
108/06/14,"28,211,150","385,520,782",13.70,13.75,13.60,13.70,-0.05,"5,094"
