日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/06/17,"30,522,774","419,026,733",13.70,13.85,13.60,13.65,-0.05,"3,813"
108/06/18,"41,290,425","552,115,934",13.65,13.65,13.25,13.25,-0.40,"5,492"
108/06/19,"48,300,373","655,544,620",13.45,13.65,13.35,13.65,+0.40,"8,471"
108/06/20,"38,934,573","526,279,439",13.70,13.75,13.35,13.40,-0.25,"7,144"
108/06/21,"48,460,614","661,152,944",13.55,13.70,13.45,13.70,+0.30,"7,861"
108/06/24,"25,972,285","355,494,632",13.55,13.80,13.50,13.75,+0.05,"4,301"
108/06/25,"26,154,417","359,484,425",13.75,13.85,13.65,13.70,-0.05,"7,215"
108/06/26,"59,484,921","823,064,474",13.85,13.95,13.75,13.80,+0.10,"9,726"
108/06/27,"62,428,579","875,443,406",13.95,14.10,13.90,14.00,+0.20,"10,477"
108/06/28,"32,353,347","453,096,884",14.10,14.10,13.85,13.95,-0.05,"7,131"
