股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,發行量加權股價指數開盤指數,發行量加權股價指數最高指數,發行量加權股價指數最低指數,發行量加權股價指數收盤指數
108/04/25,"185,934,503","2,406,707,761",12.60,13.10,12.60,13.10,+1.15,"20,956","11,017.73","11,046.77","11,006.68","11,039.86"
108/04/26,"225,982,817","2,990,156,968",13.10,13.45,12.95,13.45,+0.35,"30,963","10,986.53","10,986.53","10,906.44","10,952.47"
108/04/29,"71,900,498","958,997,010",13.45,13.50,13.25,13.35,-0.10,"10,781","10,952.91","10,992.55","10,905.78","10,939.06"
108/04/30,"63,857,184","856,685,681",13.35,13.50,13.30,13.45,+0.10,"8,483","10,945.94","10,978.10","10,910.78","10,967.73"
108/05/02,"37,508,456","505,781,464",13.35,13.60,13.35,13.55,+0.10,"6,574","10,992.76","11,046.64","10,988.70","11,004.49"
108/05/03,"87,607,849","1,206,484,737",13.55,13.90,13.55,13.85,+0.30,"9,930","11,037.99","11,097.00","11,018.86","11,096.30"
108/05/06,"94,350,184","1,262,239,900",13.50,13.70,13.15,13.20,-0.65,"14,520","11,005.36","11,005.36","10,870.40","10,897.12"
108/05/07,"53,939,136","728,668,127",13.35,13.65,13.25,13.60,+0.40,"8,323","10,913.95","11,004.76","10,913.95","10,987.14"
108/05/08,"53,979,097","723,968,755",13.35,13.55,13.30,13.45,-0.15,"9,154","10,938.47","10,946.82","10,867.06","10,923.71"
108/05/09,"61,722,274","814,775,211",13.40,13.45,13.00,13.15,-0.30,"9,243","10,910.47","10,910.47","10,732.97","10,733.67"
108/05/10,"34,772,896","459,972,550",13.30,13.40,13.05,13.20,+0.05,"8,481","10,751.55","10,834.69","10,669.39","10,712.99"
108/05/13,"34,652,746","451,343,549",13.10,13.20,12.95,12.95,-0.25,"8,185","10,684.04","10,693.44","10,549.06","10,558.29"
108/05/14,"68,436,279","881,531,327",12.80,13.10,12.60,13.00,+0.05,"12,817","10,480.21","10,544.97","10,363.02","10,519.25"
108/05/15,"54,345,421","707,375,859",12.95,13.15,12.90,12.90,-0.10,"9,320","10,535.24","10,612.50","10,535.24","10,560.71"
108/05/16,"32,193,147","416,306,876",12.90,13.00,12.80,12.95,+0.05,"8,430","10,556.58","10,573.93","10,474.61","10,474.61"
108/05/17,"52,327,936","683,870,930",13.10,13.25,12.95,13.00,+0.05,"11,131","10,508.56","10,564.97","10,384.11","10,384.11"
108/05/20,"36,419,272","468,417,888",13.05,13.10,12.75,12.75,-0.25,"8,666","10,405.36","10,465.84","10,385.18","10,398.41"
108/05/21,"39,455,900","509,552,507",12.70,13.05,12.65,12.95,+0.20,"7,665","10,362.35","10,477.20","10,342.32","10,464.50"
108/05/22,"25,560,881","331,251,553",12.95,13.05,12.85,13.00,+0.05,"6,002","10,481.10","10,520.62","10,453.50","10,457.22"
108/05/23,"47,580,279","612,301,932",12.85,13.00,12.75,12.85,-0.15,"8,324","10,404.00","10,404.00","10,289.69","10,308.37"
108/05/24,"27,753,770","360,807,119",12.95,13.10,12.90,12.95,+0.10,"6,123","10,313.15","10,370.97","10,308.59","10,328.28"
108/05/27,"25,262,205","325,339,789",13.00,13.05,12.80,12.80,-0.15,"4,736","10,344.18","10,365.44","10,305.28","10,334.13"
108/05/28,"86,813,566","1,084,248,912",12.80,12.80,12.40,12.45,-0.35,"9,487","10,348.58","10,361.61","10,312.31","10,312.31"
108/05/29,"32,266,476","399,794,888",12.30,12.60,12.15,12.60,+0.15,"6,547","10,277.35","10,307.75","10,227.44","10,301.78"
108/05/30,"43,693,334","555,134,171",12.70,12.80,12.55,12.75,+0.15,"7,849","10,307.12","10,384.36","10,306.03","10,382.99"
108/05/31,"31,740,913","408,651,351",12.65,12.95,12.65,12.90,+0.15,"5,641","10,386.12","10,515.10","10,369.02","10,498.49"
108/06/03,"41,302,659","541,192,217",12.80,13.25,12.70,13.20,+0.30,"6,911","10,482.45","10,511.20","10,383.51","10,500.07"
108/06/04,"41,757,982","547,304,774",13.15,13.30,12.90,13.00,-0.20,"8,563","10,499.51","10,518.33","10,421.81","10,429.12"
108/06/05,"27,276,407","355,122,110",13.15,13.20,12.90,12.90,-0.10,"4,473","10,497.50","10,541.29","10,446.51","10,461.62"
108/06/06,"32,018,239","416,978,609",12.90,13.10,12.85,13.05,+0.15,"5,756","10,409.90","10,429.33","10,371.08","10,409.20"
108/06/10,"28,170,170","372,734,948",13.20,13.30,13.05,13.30,+0.25,"4,557","10,486.23","10,566.47","10,466.24","10,566.47"
108/06/11,"32,581,260","436,354,435",13.35,13.45,13.25,13.40,+0.10,"5,838","10,567.54","10,637.90","10,548.06","10,607.76"
108/06/12,"30,229,283","407,344,230",13.45,13.55,13.35,13.55,+0.15,"5,747","10,605.75","10,630.69","10,566.37","10,615.66"
108/06/13,"70,097,271","961,593,543",13.50,13.95,13.40,13.75,+0.20,"9,493","10,582.19","10,617.06","10,539.49","10,561.01"
108/06/14,"28,211,150","385,520,782",13.70,13.75,13.60,13.70,-0.05,"5,094","10,546.42","10,568.92","10,517.82","10,524.67"
108/06/17,"30,522,774","419,026,733",13.70,13.85,13.60,13.65,-0.05,"3,813","10,488.70","10,562.97","10,474.19","10,530.54"
108/06/18,"41,290,425","552,115,934",13.65,13.65,13.25,13.25,-0.40,"5,492","10,547.15","10,573.77","10,521.70","10,566.74"
108/06/19,"48,300,373","655,544,620",13.45,13.65,13.35,13.65,+0.40,"8,471","10,650.48","10,778.64","10,650.48","10,775.34"
108/06/20,"38,934,573","526,279,439",13.70,13.75,13.35,13.40,-0.25,"7,144","10,749.41","10,799.14","10,745.25","10,785.01"
108/06/21,"48,460,614","661,152,944",13.55,13.70,13.45,13.70,+0.30,"7,861","10,817.71","10,840.29","10,773.47","10,803.77"
108/06/24,"25,972,285","355,494,632",13.55,13.80,13.50,13.75,+0.05,"4,301","10,734.25","10,786.33","10,695.49","10,779.45"
