股票日期,股票成交股數,股票成交金額,股票開盤價,股票最高價,股票最低價,股票收盤價,股票漲跌價差,股票成交筆數,大盤成交股數,大盤成交金額,大盤成交筆數,大盤發行量加權股價指數,大盤漲跌點數
105/10/21,"1,813,263","18,289,076",10.20,10.20,9.99,10.00,+0.23,683
105/10/24,"550,362","5,497,043",10.00,10.00,9.96,9.99,-0.01,225
105/10/25,"464,826","4,639,129",10.00,10.00,9.96,9.98,-0.01,208
105/10/26,"471,838","4,697,249",9.98,9.98,9.93,9.94,-0.04,203
105/10/27,"376,291","3,740,715",9.94,9.98,9.91,9.97,+0.03,187
105/10/28,"316,400","3,147,389",10.05,10.05,9.92,9.93,-0.04,151
105/10/31,"342,135","3,382,484",9.91,9.95,9.80,9.93, 0.00,158
105/11/01,"642,700","6,327,904",9.90,9.91,9.81,9.81,-0.12,324
105/11/02,"681,201","6,636,586",9.81,9.85,9.68,9.73,-0.08,260
105/11/03,"634,748","6,168,917",9.73,9.82,9.60,9.77,+0.04,323
105/11/04,"412,031","4,005,138",9.77,9.77,9.68,9.74,-0.03,152
105/11/07,"410,557","3,989,700",9.74,9.77,9.68,9.71,-0.03,166
105/11/08,"389,866","3,783,679",9.76,9.79,9.69,9.71, 0.00,164
105/11/09,"1,845,631","17,489,854",9.71,9.71,9.30,9.63,-0.08,552
105/11/10,"762,681","7,339,667",9.69,9.69,9.58,9.60,-0.03,318
105/11/11,"1,245,830","11,758,555",9.46,9.61,9.36,9.36,-0.24,457
105/11/14,"1,523,087","14,065,035",9.40,9.40,9.17,9.30,-0.06,579
105/11/15,"1,895,898","17,294,671",9.25,9.25,9.01,9.21,-0.09,819
105/11/16,"1,892,954","17,256,083",9.17,9.20,9.04,9.10,-0.11,920
105/11/17,"2,628,347","23,513,413",9.09,9.09,8.86,9.00,-0.10,"1,078"
105/11/18,"3,039,387","26,836,640",8.92,8.93,8.75,8.90,-0.10,"1,080"
105/11/21,"3,034,557","26,774,447",8.89,8.90,8.74,8.90, 0.00,929
105/11/22,"6,211,482","57,995,538",9.03,9.50,8.95,9.46,+0.56,"2,024"
105/11/23,"2,267,315","21,252,346",9.46,9.46,9.30,9.41,-0.05,886
105/11/24,"5,919,330","56,293,225",9.40,9.74,9.27,9.60,+0.19,"1,609"
105/11/25,"8,469,966","82,927,908",9.72,9.97,9.62,9.62,+0.02,"2,250"
105/11/28,"3,208,651","30,371,016",9.65,9.68,9.37,9.40,-0.22,"1,103"
105/11/29,"2,036,991","19,076,033",9.44,9.51,9.30,9.34,-0.06,674
105/11/30,"7,607,124","72,502,804",9.44,9.55,9.38,9.55,+0.21,798
105/12/01,"1,602,184","15,292,928",9.63,9.63,9.50,9.51,-0.04,734
105/12/02,"1,004,780","9,457,483",9.38,9.49,9.38,9.39,-0.12,472
105/12/05,"946,003","8,918,795",9.55,9.55,9.37,9.39, 0.00,397
105/12/06,"925,375","8,692,249",9.45,9.46,9.35,9.36,-0.03,329
105/12/07,"784,001","7,371,265",9.36,9.45,9.36,9.40,+0.04,345
105/12/08,"678,526","6,402,082",9.46,9.47,9.42,9.42,+0.02,299
105/12/09,"1,529,806","14,539,131",9.45,9.65,9.44,9.44,+0.02,604
105/12/12,"975,833","9,155,665",9.46,9.46,9.32,9.40,-0.04,328
105/12/13,"758,587","7,105,605",9.40,9.40,9.34,9.39,-0.01,289
105/12/14,"693,857","6,501,527",9.41,9.41,9.33,9.40,+0.01,260
105/12/15,"586,767","5,477,440",9.40,9.40,9.32,9.32,-0.08,278
105/12/16,"698,802","6,526,862",9.33,9.40,9.31,9.32, 0.00,278
105/12/19,"1,020,205","9,477,455",9.35,9.35,9.24,9.30,-0.02,421
105/12/20,"539,218","4,987,963",9.35,9.35,9.22,9.24,-0.06,290
